Date,DayOfWeek,WakeUp,BedTime,HoursOfSleep,PuttsHit,PagesRead,Water,Vitamins,Creatine,FinishedSchool,HeartRate,Bible,Rosary,Weight,ScreenTime,BrushTeeth,Shower,Workout,InterviewQuestions,FruitOrVegetable,LearnedSomething,WhatWasLearned,HappinessLevelMorning,HappinessLevelNight,HappinessChange
2/12/2021,Friday,4.75,11.33,5.5,5,43,24,Yes,Yes,Yes,65,No,No,171,6.5,1,No,Yes,0,Yes,Yes,Feature Engineering,5,6,1
2/13/2021,Saturday,8,1.4,7.9,5,54,48,No,No,Yes,66,No,Yes,170.8,8.16,1,Yes,Yes,2,Yes,Yes,Deep Learning ,3,1,-2
2/14/2021,Sunday,9.33,9.99,8.33,0,72,72,Yes,Yes,Yes,65,No,Yes,170.8,3.75,1,No,No,0,Yes,Yes,Deep Learning ,5,6,1
2/15/2021,Monday,6.01,11.5,5.01,75,113,96,No,No,Yes,64,No,Yes,170.8,5.16,2,No,Yes,0,Yes,Yes,REM Sleep,5,4,-1
2/16/2021,Tuesday,5.25,10.88,4.55,75,0,48,No,Yes,Yes,66,No,Yes,170.8,5.33,2,Yes,Yes,0,Yes,Yes,Machine Learning Explainability,7,5,-2
2/17/2021,Wednesday,6.33,11.18,6.75,0,0,48,No,Yes,Yes,65,No,Yes,170.8,7.5,2,No,Yes,0,Yes,Yes,Study for Accounting,6,6,0
2/18/2021,Thursday,6.25,9.75,6.5,75,90,72,No,No,Yes,63,No,Yes,171,6.33,2,Yes,Yes,0,No,Yes,Explained Machine Learning ,5,7,2
2/19/2021,Friday,6,12.25,6.75,75,102,48,Yes,Yes,Yes,62,No,Yes,171,8.25,1,No,Yes,0,No,Yes,D-Day,5,8,3
2/20/2021,Saturday,7.5,12,8.5,0,0,48,Yes,Yes,Yes,61,No,No,171,5.4,2,No,No,0,No,Yes,Machine Learning Meeting,6,5,-1
2/21/2021,Sunday,9.6,11,5.25,0,0,48,No,No,Yes,59,No,No,171,4.9,2,Yes,No,0,No,Yes,Relational Algebra,5,3,-2
2/22/2021,Monday,5,11,5.25,0,70,72,No,No,Yes,57,Yes,No,171,7.5,1,No,Yes,0,Yes,Yes,Machine Learning Methods,6,4,-2
2/23/2021,Tuesday,4.2,9.9,4.5,75,100,72,Yes,No,Yes,57,No,Yes,171,7.95,2,Yes,Yes,0,Yes,No,NA,7,5,-2
2/24/2021,Wednesday,6.17,1.17,7.2,0,25,72,No,No,Yes,57,No,No,171,7,0,No,No,0,No,Yes,Deploy Machine Learning ,5,7,2
2/25/2021,Thursday,6.5,1.1,4.75,75,100,96,No,No,Yes,58,No,No,171,6.5,2,Yes,Yes,1,Yes,No,NA,6,5,-6
2/26/2021,Friday,6.25,9.9,7.75,75,0,96,No,No,Yes,58,No,Yes,171,6,2,No,Yes,2,Yes,No,NA,5,5,0
2/27/2021,Saturday,7.25,10.9,7.4,0,0,24,No,No,Yes,58,No,No,171,3.55,2,No,No,0,Yes,Yes,Dreaming ,7,8,1
